group,bm25,dense,static_rrf,wrrf_weak,wrrf_strong
scifact,0.636523503549741,0.6984797654369136,0.6829783025366944,0.684630168913775,0.6938901993829882
nfcorpus,0.23194291146382268,0.2605792092774809,0.26733602355600483,0.27033790868861035,0.26761087997338395
arguana,0.28592439457955626,0.41862154730343615,0.37963389861149954,0.41300147967805073,0.4159117060230421
fiqa,0.2410190144425043,0.43186769167927325,0.3849723692186491,0.42603435198050865,0.43693554313492144
scidocs,0.2418936941183961,0.2909261874000526,0.3062457327987588,0.31637072415135303,0.3070185077534501
MACRO,0.32746070363080404,0.4200948802194313,0.40423326534432136,0.4220749266824596,0.42427336725355713
