rank,model,params_json,cv_ndcg@100
45,svr,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.43300077852488716
46,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}",0.4329810971109042
47,extra_trees,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.43294420668892003
48,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 300, ""subsample"": 0.8}",0.43294168167573777
49,random_forest,"{""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.43293721121478584
50,knn,"{""n_neighbors"": 50, ""weights"": ""distance""}",0.432937102090475
51,svr,"{""C"": 0.1, ""epsilon"": 0.1, ""gamma"": ""scale""}",0.43287614569845234
52,mlp,"{""alpha"": 0.001, ""batch_size"": 64, ""hidden_layer_sizes"": [512, 256], ""learning_rate_init"": 0.001}",0.43287533920255716
53,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.4328671063751949
54,random_forest,"{""max_depth"": 8, ""max_features"": 0.1, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.43277263860496407
55,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",0.4327545310306024
56,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 8, ""n_estimators"": 100, ""subsample"": 0.8}",0.4327346066589487
57,random_forest,"{""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.4326840747037128
58,knn,"{""n_neighbors"": 20, ""weights"": ""distance""}",0.4326816538476768
59,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}",0.43261688750773597
60,knn,"{""n_neighbors"": 50, ""weights"": ""uniform""}",0.43254404996700624
61,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.432539730441575
62,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}",0.4325066821149262
63,knn,"{""n_neighbors"": 20, ""weights"": ""uniform""}",0.4323886175460296
64,svr,"{""C"": 0.1, ""epsilon"": 0.01, ""gamma"": ""scale""}",0.43235170534107537
