group,n,bm25,bm25_median,bm25_p95,bm25_ce_only,bm25_rer,bm25_rer_median,bm25_rer_p95,dense,dense_median,dense_p95,dense_ce_only,dense_rer,dense_rer_median,dense_rer_p95,static_rrf,static_rrf_median,static_rrf_p95,static_rrf_ce_only,static_rrf_rer,static_rrf_rer_median,static_rrf_rer_p95,wrrf_weak,wrrf_weak_median,wrrf_weak_p95,wrrf_weak_ce_only,wrrf_weak_rer,wrrf_weak_rer_median,wrrf_weak_rer_p95,wrrf_strong,wrrf_strong_median,wrrf_strong_p95,wrrf_strong_ce_only,wrrf_strong_rer,wrrf_strong_rer_median,wrrf_strong_rer_p95,moe,moe_median,moe_p95,moe_ce_only,moe_rer,moe_rer_median,moe_rer_p95
scifact,45,17.501951402260197,16.089407727122307,25.368712656199932,112.84746505940954,130.34941646166973,127.57274927571416,150.45495675876737,13.260222184989187,12.064147740602493,15.817558486014603,110.91925515275862,124.17947733774781,119.09166583791375,138.1445825099945,23.256877447581953,23.167702835053205,31.37874994426965,109.21595379089315,132.47283123847512,129.37970086932182,146.45713735371828,23.3429873155223,23.211435880512,30.20485918968916,110.16929746708936,133.51228478261166,129.51542669907212,156.04780530557036,23.82864611637261,23.473098874092102,31.173967011272904,112.92382564602627,136.75247176239887,131.4427270554006,160.57222736999393,24.1431284799344,24.04962806031108,31.80429935455322,114.16174806654453,138.30487654647894,140.3155904263258,153.39540652930734
nfcorpus,45,4.434388710392846,3.7672631442546844,9.640806913375851,113.58722492845521,118.02161363884807,118.04554238915443,131.78937695920467,12.017294205725193,11.8219000287354,12.825770769268273,111.77354518117176,123.79083938689695,120.01849617809057,133.82152374833822,14.527101773354742,13.70180957019329,18.84220167994499,110.26217454216547,124.78927631552021,121.31853075698018,138.88904685154557,14.732707157317135,13.97040719166398,18.74554893001914,109.61046112287376,124.3431682801909,120.83459738641977,137.76029469445348,14.584099211626583,14.038606081157923,18.117205426096913,111.7389936827951,126.32309289442168,122.99637869000435,142.36106872558594,15.119318467461401,14.709804207086563,18.748057726770636,113.22530909544892,128.34462756291032,125.11496897786856,142.66451001167297
arguana,45,279.41491776663395,257.40526616573334,490.33610783517355,121.62598042438428,401.04089819101824,380.6583685800433,620.1362452469765,16.22622732280029,15.192746184766293,22.783092502504584,115.338796377182,131.5650236999823,132.46626872569323,146.45254677161574,291.5317441647251,271.2790700607002,485.49403212964535,114.96841488406062,406.50015904878575,379.60535008460283,617.3851148225367,293.7500099961956,265.45120729133487,491.4006198756397,114.80568125844002,408.55569125463563,373.0856799520552,621.535630337894,291.5893780791925,271.9429936259985,499.8860640451311,115.9818067215383,407.5711848007308,393.1617559865117,629.2165037244557,295.9081810278197,277.84207183867693,526.8720478750765,117.32935298027263,413.2375340080923,390.8913596533239,654.1072222404182
fiqa,45,236.68419397953483,237.76314919814467,382.2017583064735,112.68010954889986,349.3643035284347,362.9389922134578,499.2721826769411,14.046632084581587,13.897358905524015,16.797805670648806,109.87799393220081,123.92462601678238,119.86648850142956,133.53355638682842,228.57655863174134,233.15373715013266,365.33291488885874,108.03301113968094,336.6095697714223,334.90619622170925,486.0820545814931,227.11376922412052,214.64273519814014,363.03099263459444,106.30098149801294,333.4147507221335,319.38277278095484,466.951459646225,230.28423505731755,234.97528489679098,374.99931417405594,108.70302236742444,338.987257424742,346.83940513059497,480.17787262797344,229.48325174964137,226.78996110334992,366.10674252733577,111.2625580901901,340.74580983983145,345.556462649256,472.34836053103203
scidocs,45,76.20318563034137,76.47389965131879,108.52762004360557,107.8483602963388,184.05154592668018,187.9031858406961,234.06816236674786,12.716541449642843,12.672125827521086,13.198154978454113,108.33485366569624,121.05139511533909,117.68303578719497,135.21918058395386,75.1257037743926,75.43632900342345,112.0082614943385,107.41551549484332,182.54121926923594,179.37603266909719,220.7015031017363,74.34843027343352,75.96740126609802,109.73913772031662,108.80636061645217,183.1547908898857,181.16324301809072,227.6502300053835,75.36122558845415,77.15711975470185,115.62335370108484,111.02815085194177,186.38937644039592,184.75448805838823,218.57244605198503,78.3877637444271,76.43784210085869,119.56338947638868,111.29652737743325,189.68429112186035,189.1685319133103,227.75597330182788
MACRO,225,122.84772749783265,118.29979717731476,203.2150011509657,113.71782805149755,236.56555554933016,235.42376765981317,327.1441848017275,13.653383449547821,13.129655737429857,16.284476481378075,111.24888886180187,124.9022723113497,121.82519100606441,137.43427800014615,126.60359715835916,123.34772972390056,202.61123202741146,109.9790139703287,236.58261112868786,228.91716212034225,321.902971342206,126.65758079331783,118.6486373655498,202.6242316700518,109.93855639257364,236.59613718589145,224.79634396731853,321.98908399790525,127.12951681059266,124.31742064654827,207.95998087152833,112.07515985394517,239.20467666453783,235.83895098417997,326.1800236999988,128.6083286938568,123.96586146205664,212.61890739202494,113.4550991219779,242.06342781583467,238.2093827240169,330.0542945228517
