group,bm25_orig,bm25_rerank,dense_orig,dense_rerank,static_rrf_orig,static_rrf_rerank,wrrf_weak_orig,wrrf_weak_rerank,wrrf_strong_orig,wrrf_strong_rerank,moe_orig,moe_rerank
scifact,0.636523503549741,0.6596255499616628,0.6984797654369136,0.6912164125813127,0.6829783025366944,0.6931027216286476,0.684630168913775,0.6935631148311833,0.6938901993829882,0.6935819358037776,0.6995223153656293,0.6935135740337637
nfcorpus,0.23194291146382268,0.26748537021040525,0.2605792092774809,0.29312111177902095,0.26733602355600483,0.2934946932596051,0.27033790868861035,0.2983547673426668,0.26761087997338395,0.295858255537893,0.2710585786695132,0.29987128963840826
arguana,0.28592439457955626,0.3145357021206803,0.41862154730343615,0.3453771963123297,0.37963389861149954,0.3481918801351008,0.41300147967805073,0.34383302503961394,0.4159117060230421,0.3452637713658274,0.41033230788257113,0.3392053996920419
fiqa,0.2410190144425043,0.31498914304836345,0.43186769167927325,0.4403983831439976,0.3849723692186491,0.4382321335931514,0.42603435198050865,0.43948900471971747,0.43693554313492144,0.44378697964205666,0.4370541595516006,0.4448171416188812
scidocs,0.2418936941183961,0.26701492314273634,0.2909261874000526,0.3163385428429203,0.3062457327987588,0.3135861673772491,0.31637072415135303,0.31739972044075204,0.3070185077534501,0.317282151995802,0.3100916567762227,0.3151431743514027
MACRO,0.32746070363080404,0.36473013769676965,0.4200948802194313,0.41729032933191623,0.40423326534432136,0.41732151919875077,0.4220749266824596,0.41852792647478676,0.42427336725355713,0.41915461886907135,0.4256118036491074,0.41851011586689946
