group,bm25_orig,bm25_rerank,dense_orig,dense_rerank,static_rrf_orig,static_rrf_rerank,wrrf_weak_orig,wrrf_weak_rerank,wrrf_strong_orig,wrrf_strong_rerank,moe_orig,moe_rerank
scifact,0.6045010497333547,0.63279593318809,0.6681194885361551,0.6500735992402659,0.6403719506076063,0.6491150108354409,0.6401974173507786,0.6494462091625212,0.6570500219403728,0.6494987065086225,0.6656214034890505,0.6493873169235488
nfcorpus,0.4455039186278361,0.5436932068944951,0.46819233200543253,0.5309912402427094,0.4705156464576754,0.5410014569434859,0.49473869348967114,0.5397918858736778,0.4816124198398301,0.5395138888888888,0.4915681999091229,0.5376675485008817
arguana,0.14628393001623605,0.17807274815442378,0.2602933605544346,0.1812079356832067,0.21711186737493923,0.1838011125115144,0.25334980954759295,0.17934201820056558,0.25667077440651176,0.18113084700047064,0.2535990640147772,0.17925791692720597
fiqa,0.274337210927998,0.40488206734375315,0.44682214778024104,0.4743971682788869,0.3937757377495205,0.48182847934271084,0.43890782706572185,0.48263152467485965,0.4482689292949097,0.48322545971238173,0.4555923707487859,0.4831364164853337
scidocs,0.3394554155067995,0.4207902663399118,0.4018898168100278,0.4241464303870112,0.43203803164609433,0.4191122868900647,0.45857441799997667,0.4191556024370918,0.42312367678631535,0.41964307537605994,0.442578592947014,0.42000549807567356
MACRO,0.36201630496244486,0.43604684438413477,0.4490634291372582,0.45216327476641605,0.43076264676716713,0.4549716693046434,0.4571536330907483,0.45407344806974315,0.4533451644535879,0.45460239549728476,0.4617919262217501,0.4538909393825287
