group,bm25,dense,static_rrf,wrrf_weak,wrrf_strong,moe,union
scifact,0.7955555555555555,0.8844444444444444,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9066666666666666
nfcorpus,0.21857331950863176,0.2636253840826635,0.2535265359450288,0.26913507811947823,0.2631461709197818,0.2701564336865119,0.2996679964787224
arguana,0.8,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9333333333333333,0.9777777777777777
fiqa,0.4144973544973544,0.6848148148148148,0.6577777777777777,0.6644444444444444,0.6874074074074075,0.6903703703703703,0.7077777777777777
scidocs,0.33555555555555555,0.43000000000000005,0.43000000000000005,0.4433333333333333,0.4433333333333333,0.43444444444444436,0.4788888888888888
MACRO,0.5128363570234195,0.6436880397794957,0.6407053071890058,0.6478270156238957,0.651221826776549,0.6469942497002653,0.6741558215179666
