group,bm25,dense,static_rrf,wrrf_weak,wrrf_strong,moe
scifact,0.6045010497333547,0.6681194885361551,0.6403719506076063,0.6401974173507786,0.6570500219403728,0.6656214034890505
nfcorpus,0.4455039186278361,0.46819233200543253,0.4705156464576754,0.49473869348967114,0.4816124198398301,0.4915681999091229
arguana,0.14628393001623605,0.2602933605544346,0.21711186737493923,0.25334980954759295,0.25667077440651176,0.2535990640147772
fiqa,0.274337210927998,0.44682214778024104,0.3937757377495205,0.43890782706572185,0.4482689292949097,0.4555923707487859
scidocs,0.3394554155067995,0.4018898168100278,0.43203803164609433,0.45857441799997667,0.42312367678631535,0.442578592947014
MACRO,0.36201630496244486,0.4490634291372582,0.43076264676716713,0.4571536330907483,0.4533451644535879,0.4617919262217501
