k1,b,use_stemming,macro_ndcg@100,scifact_ndcg@100,nfcorpus_ndcg@100,arguana_ndcg@100,fiqa_ndcg@100,scidocs_ndcg@100
1.2,0.75,1,0.329508012859615,0.6284172266419035,0.24409509942191293,0.3287650118276069,0.23157624953421424,0.21468647687243775
1.5,0.75,1,0.32832619229630006,0.62833929629295,0.24434006298703784,0.3251534533221664,0.22966857898343623,0.2141295698959099
1.6,0.75,1,0.3278853479973611,0.6256976812191707,0.2445353147662911,0.32585862243605873,0.22932178954991783,0.21401333201536724
0.8,0.75,1,0.32767350548599705,0.6196858990160998,0.24358452515430598,0.32861309100779296,0.2330770491286425,0.21340696312314417
2.0,0.75,1,0.3257540830561508,0.6232764429174436,0.24443538603014436,0.32076655188262865,0.22664610639006905,0.21364592806046814
0.8,0.5,1,0.31733944620056886,0.618348230674568,0.24397296918105724,0.28566841757099504,0.2302724885454406,0.20843512503078346
1.2,0.5,1,0.3169279223259088,0.6259051748236182,0.2442660724134331,0.27458397914806504,0.22972100426932496,0.2101633809751025
1.5,0.5,1,0.31446673965097277,0.6244640618568085,0.2451588963618997,0.2679929922044074,0.225527101108396,0.20919064672335244
1.6,0.5,1,0.31431746330721,0.6248984799457027,0.24517943047189836,0.26636924697343783,0.22596907294255084,0.20917108620246058
0.8,0.75,0,0.31377452939330663,0.5902381340148956,0.23141301484790355,0.3260583018784478,0.21821896188446477,0.20294423434082148
1.2,0.75,0,0.3127930681531654,0.5848532854857889,0.2311331079351701,0.3270843359306534,0.21548208021769394,0.2054125311965204
1.6,0.75,0,0.3120802623327906,0.5869331701256765,0.23127260872145047,0.3227637616187038,0.21305256029029532,0.20637921090782713
1.5,0.75,0,0.31174130140594386,0.5838865425657215,0.23098191083007524,0.3242396109547662,0.21271842748013362,0.20688001519902258
2.0,0.5,1,0.3110631468496482,0.6211955045680403,0.24552205555617537,0.2557425542697194,0.22506566401766623,0.2077899558366398
2.0,0.75,0,0.3099513147928774,0.5886415221087519,0.23180979489242864,0.3164631920473275,0.20747495179906533,0.20536711311681388
1.5,1.0,1,0.30905251857934896,0.6274290943773806,0.24352704516721513,0.37341696845514516,0.08120558193916201,0.2196839029578419
1.6,1.0,1,0.3084418389794107,0.625504737743407,0.24305553468063948,0.37493361377570833,0.07945294570091421,0.21926236299638419
1.2,1.0,1,0.3084203539890099,0.6246297738752655,0.24332162933658613,0.37121754655149564,0.08407079990302399,0.21886202027867843
2.0,1.0,1,0.30699348173572216,0.6212956615509928,0.24364307419114434,0.3764046639024165,0.07691824022726974,0.21670576880678757
0.8,0.5,0,0.3056617411438466,0.5892971012219936,0.2312825435598496,0.28862649698812587,0.21801041699062645,0.20109214695863759
0.8,1.0,1,0.30534560274586364,0.6225581357225654,0.24231630767971304,0.3585421487775539,0.08758892468464548,0.21572249686484032
1.2,0.5,0,0.30252124942546615,0.5834292957185789,0.23088015573994417,0.27846550153137617,0.21894250888771855,0.20088878524971268
0.8,0.25,1,0.30168722121746894,0.6134457752990183,0.24449521160150753,0.23633080421738895,0.21240124767997196,0.20176306728945784
1.2,0.25,1,0.2997848873358305,0.6191878483237476,0.24542570264629887,0.22068412962753806,0.2125878528653762,0.2010389032161914
1.6,0.5,0,0.2996617896824104,0.5842540558539874,0.23145960175086103,0.2679684037939311,0.2121423769060711,0.20248451010720156
1.5,0.5,0,0.2995861727866123,0.581494404429915,0.23106766337654458,0.27036740068835174,0.21278559212824344,0.20221580331000655
2.0,0.5,0,0.29690044307365565,0.5857943904924408,0.23244807456140398,0.25845354635683443,0.20724222712717025,0.2005639768304287
1.5,0.25,1,0.2954593864566806,0.6118766829697817,0.24562302925967647,0.2064000355337781,0.21237220085847264,0.2010249836616937
1.6,0.25,1,0.29516510795466405,0.6144655925061328,0.24519222784332576,0.20204726170904685,0.21346591238321902,0.200654545331596
1.2,1.0,0,0.292714598994213,0.5877229765643264,0.23046931906290516,0.3635619988309146,0.07407368663638389,0.20774501387653513
1.6,1.0,0,0.2924754048004631,0.590483391489506,0.22991588142402833,0.36368372307594987,0.07131887013832329,0.20697515787450751
1.5,1.0,0,0.2920059721244041,0.5886153072992437,0.22995606477731434,0.3629193734382068,0.07129121603142054,0.20724789907583524
2.0,1.0,0,0.2917939416166696,0.5910093650502696,0.2299154075429378,0.36396361861834653,0.06871907539159314,0.20536224148020105
0.8,1.0,0,0.2916545971711184,0.5871881872404255,0.23034865612704422,0.35827852711888597,0.07658349337346923,0.20587412199576696
0.8,0.25,0,0.29164336336826946,0.5813702457752318,0.23059806473743757,0.24643731552228498,0.2038949506048876,0.1959162402015056
2.0,0.25,1,0.2905221018126962,0.6104639613644429,0.24681440566006582,0.18644961101639482,0.20756421129052136,0.20131831973205597
1.2,0.25,0,0.2874137110535971,0.5840848934409376,0.23018028435426952,0.22780582665917942,0.20162957732867695,0.19336797348492182
1.5,0.25,0,0.2820530089122713,0.5808354591546296,0.23033074157152109,0.20851002413126915,0.19660116319889875,0.19398765650503805
1.6,0.25,0,0.28132248405202154,0.5827445922169122,0.23066379578879803,0.20425412594398365,0.19527616225199887,0.1936737440584149
0.8,0.0,1,0.2758652971569282,0.6030514281276784,0.24373688862941645,0.18395809880400021,0.165187030956141,0.18339303926740508
2.0,0.25,0,0.27505804065401873,0.5782342151566942,0.22955739777946235,0.18564394845583018,0.18874935452830988,0.19310528734979712
1.2,0.0,1,0.26813151420376446,0.6018361602326816,0.24460929094677136,0.1558744739638351,0.15683313850784358,0.18150450736769036
0.8,0.0,0,0.26672635064863603,0.5750501121039168,0.22861785930324705,0.1889252146626967,0.1590573922147295,0.18198117495858993
1.5,0.0,1,0.2620149423046372,0.5960537107961286,0.24387346621084963,0.1355861916543332,0.15466751385610755,0.17989382900576706
1.6,0.0,1,0.2606319677042516,0.5966960110201096,0.24436992632625723,0.12933542183634328,0.15293852482926373,0.1798199545092842
1.2,0.0,0,0.2594792299461047,0.5789555265483417,0.2283060484229155,0.15606293926729203,0.15356740247425185,0.18050423301772214
1.5,0.0,0,0.2538821084404697,0.5742117137779623,0.2287273640429504,0.1374216233100013,0.1506899978694523,0.17835984320198223
2.0,0.0,1,0.2536082996610438,0.5883072823303024,0.2454184509685063,0.11172221568902335,0.14681070072833588,0.17578284858905122
1.6,0.0,0,0.25137922630705833,0.5732733322702456,0.2284285014867083,0.12909657644589828,0.14899033212335805,0.1771073892090815
2.0,0.0,0,0.24291875917078737,0.5658260504040674,0.226994373894342,0.10623694482697399,0.1425034474096792,0.17303297931887418
