model,n_features,removed_features,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs,fold_0_scifact,fold_1_scifact,fold_2_scifact,fold_3_scifact,fold_4_scifact,fold_5_scifact,fold_6_scifact,fold_7_scifact,fold_8_scifact,fold_9_scifact,fold_0_nfcorpus,fold_1_nfcorpus,fold_2_nfcorpus,fold_3_nfcorpus,fold_4_nfcorpus,fold_5_nfcorpus,fold_6_nfcorpus,fold_7_nfcorpus,fold_8_nfcorpus,fold_9_nfcorpus,fold_0_arguana,fold_1_arguana,fold_2_arguana,fold_3_arguana,fold_4_arguana,fold_5_arguana,fold_6_arguana,fold_7_arguana,fold_8_arguana,fold_9_arguana,fold_0_fiqa,fold_1_fiqa,fold_2_fiqa,fold_3_fiqa,fold_4_fiqa,fold_5_fiqa,fold_6_fiqa,fold_7_fiqa,fold_8_fiqa,fold_9_fiqa,fold_0_scidocs,fold_1_scidocs,fold_2_scidocs,fold_3_scidocs,fold_4_scidocs,fold_5_scidocs,fold_6_scidocs,fold_7_scidocs,fold_8_scidocs,fold_9_scidocs
full,16,—,0.385801,0.639183,0.335729,0.374615,0.407258,0.172222,0.642808,0.576093,0.698090,0.685005,0.573195,0.601141,0.667187,0.689021,0.614247,0.645043,0.317022,0.357555,0.294696,0.342720,0.311012,0.316928,0.357929,0.373090,0.368690,0.317653,0.378012,0.377665,0.374726,0.372559,0.362219,0.380754,0.380788,0.383177,0.348222,0.388028,0.439380,0.419251,0.363141,0.416609,0.361918,0.387373,0.412148,0.400745,0.440669,0.431344,0.161627,0.157329,0.185825,0.190773,0.166616,0.137660,0.198090,0.180139,0.180485,0.163676
reduced,14,"query_length, average_idf",0.384385,0.637008,0.333967,0.373660,0.404188,0.173103,0.633155,0.570956,0.691939,0.684468,0.566272,0.607348,0.663752,0.693766,0.615566,0.642860,0.319144,0.352494,0.286582,0.343623,0.307132,0.320443,0.355653,0.368204,0.366716,0.319677,0.371325,0.374756,0.379554,0.372356,0.367016,0.378865,0.379790,0.375242,0.347937,0.389761,0.435704,0.422817,0.358681,0.410017,0.366242,0.385017,0.411664,0.393933,0.437777,0.420024,0.163120,0.160115,0.185441,0.189145,0.166412,0.140038,0.198785,0.179233,0.180108,0.168632
