rank,model,params,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs
28,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382799,0.631769,0.326880,0.372659,0.409066,0.173622
29,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382735,0.635312,0.326035,0.372348,0.404581,0.175400
30,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382573,0.634667,0.327926,0.370587,0.405377,0.174307
31,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.382540,0.636680,0.327408,0.371038,0.403545,0.174027
32,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382468,0.632740,0.324002,0.373079,0.409792,0.172730
33,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382438,0.634464,0.324585,0.376285,0.404748,0.172108
34,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382305,0.634083,0.325107,0.371322,0.405572,0.175439
35,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382279,0.633828,0.325258,0.372409,0.405036,0.174864
36,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382226,0.633322,0.325448,0.373072,0.406468,0.172822
37,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.382204,0.636103,0.325884,0.369405,0.405048,0.174582
38,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382163,0.634139,0.323821,0.373143,0.404691,0.175023
39,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.382159,0.633899,0.324103,0.374050,0.405117,0.173626
40,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.381840,0.632567,0.327314,0.369469,0.405188,0.174661
41,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381755,0.632524,0.326802,0.373568,0.403074,0.172806
42,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.381717,0.632810,0.324290,0.372917,0.405238,0.173329
43,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.381708,0.633909,0.326127,0.369756,0.405060,0.173690
44,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.381702,0.634162,0.322978,0.373640,0.403961,0.173772
45,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381677,0.634539,0.328456,0.368545,0.403259,0.173584
46,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.381662,0.633894,0.324586,0.370721,0.404255,0.174857
47,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.381554,0.631107,0.325075,0.372715,0.405241,0.173630
48,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.381549,0.633506,0.324240,0.369682,0.405733,0.174585
49,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381548,0.633143,0.324436,0.373565,0.405228,0.171368
50,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.381527,0.634408,0.323924,0.372710,0.403267,0.173326
51,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.381498,0.633544,0.324232,0.371253,0.405580,0.172883
