rank,model,params,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs
28,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.383929,0.638319,0.333577,0.374778,0.401655,0.171316
29,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.383888,0.635013,0.335523,0.374608,0.402903,0.171391
30,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.383833,0.635329,0.335012,0.375456,0.402228,0.171139
31,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 1.0}",0.383748,0.636519,0.333667,0.374678,0.402545,0.171332
32,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.383715,0.636992,0.337135,0.369502,0.402725,0.172220
33,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.383641,0.636946,0.333276,0.375290,0.402239,0.170451
34,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 1.0}",0.383623,0.635972,0.334652,0.372931,0.401260,0.173300
35,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.383568,0.638420,0.333541,0.375383,0.400417,0.170082
36,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.383550,0.636109,0.333789,0.372705,0.403150,0.172000
37,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 1.0}",0.383524,0.636073,0.332695,0.373415,0.403977,0.171462
38,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.383502,0.636318,0.334293,0.370606,0.402924,0.173368
