dataset,bm25_ndcg@10,dense_ndcg@10,static_rrf_ndcg@10,wrrf_ndcg@10
scifact,0.600781,0.670329,0.648819,0.655873
nfcorpus,0.291162,0.379976,0.345211,0.340821
arguana,0.252523,0.380436,0.328274,0.366494
fiqa,0.160194,0.482951,0.385900,0.473261
scidocs,0.128760,0.154012,0.159811,0.162174
MACRO,0.286684,0.413541,0.373603,0.399725
